id,sex,age,time,choice
1,female,19,tomorrow,easy
2,female,20,tomorrow,easy
3,male,20,tomorrow,easy
4,female,19,tomorrow,easy
5,female,19,tomorrow,hard
6,female,20,tomorrow,easy
7,female,19,tomorrow,easy
8,female,20,tomorrow,easy
9,male,18,tomorrow,hard
10,female,25,tomorrow,easy
11,female,18,tomorrow,easy
12,female,19,tomorrow,easy
13,female,20,tomorrow,easy
14,female,19,tomorrow,easy
15,female,19,tomorrow,easy
16,female,20,tomorrow,easy
17,male,19,tomorrow,easy
18,female,19,tomorrow,hard
19,female,19,tomorrow,easy
20,male,20,tomorrow,easy
21,female,20,tomorrow,hard
22,male,19,tomorrow,easy
23,female,19,future,easy
24,female,20,future,easy
25,male,18,future,hard
26,female,19,future,easy
27,female,19,future,hard
28,female,20,future,easy
29,male,20,future,easy
30,female,19,future,hard
31,female,19,future,hard
32,female,20,future,easy
33,female,18,future,hard
34,female,19,future,easy
35,male,19,future,easy
36,female,20,future,easy
37,female,20,future,hard
38,female,19,future,easy
39,female,19,future,easy
40,female,19,future,hard
41,female,20,future,easy
42,female,20,future,easy
43,male,19,future,easy
44,female,20,future,easy
45,female,19,future,hard
46,female,20,future,easy
47,female,19,future,hard
48,male,19,future,hard
49,male,20,future,easy
50,female,18,future,easy
51,female,20,future,easy
52,female,19,future,hard
53,female,20,future,easy
54,female,19,future,hard
55,female,20,future,easy
56,female,19,future,hard
57,male,19,future,hard
58,female,22,future,easy
59,female,19,future,easy
60,female,20,future,easy
61,female,18,future,hard
62,female,19,tomorrow,easy
63,female,20,tomorrow,easy
64,male,28,tomorrow,easy
65,female,19,tomorrow,hard
66,female,20,tomorrow,easy
67,female,20,tomorrow,easy
68,male,19,tomorrow,easy
69,female,20,tomorrow,easy
70,female,18,tomorrow,easy
71,female,24,tomorrow,easy
72,female,19,tomorrow,easy
73,male,19,tomorrow,easy
74,female,20,tomorrow,hard
75,female,18,tomorrow,easy
76,female,19,tomorrow,
77,female,20,tomorrow,easy
78,male,19,tomorrow,hard
79,female,19,tomorrow,easy
80,female,20,tomorrow,easy
81,female,19,tomorrow,easy
82,female,19,tomorrow,easy
83,female,19,future,hard
84,male,21,future,easy
85,female,20,future,hard
86,female,19,future,
87,female,19,future,easy
88,male,18,future,hard
89,female,20,future,easy
90,male,19,future,easy
91,female,19,future,
92,female,20,future,hard
93,female,19,future,easy
94,female,19,future,hard
95,female,19,future,hard
96,female,20,future,easy
97,female,20,future,easy
98,female,19,future,hard
99,female,19,future,hard
100,female,20,future,hard
101,female,19,future,easy
102,male,19,future,easy
103,female,18,tomorrow,easy
104,female,19,tomorrow,easy
105,female,19,tomorrow,hard
106,male,20,tomorrow,easy
107,female,20,tomorrow,easy
108,female,19,tomorrow,easy
109,male,19,tomorrow,easy
110,female,21,tomorrow,easy
111,female,19,tomorrow,hard
112,female,23,tomorrow,hard
113,male,20,tomorrow,easy
114,female,19,tomorrow,easy
115,female,18,tomorrow,easy
116,female,20,tomorrow,easy
117,female,19,tomorrow,easy
118,female,19,tomorrow,easy
119,female,20,tomorrow,hard
120,male,20,tomorrow,easy
121,female,19,tomorrow,easy
122,female,19,tomorrow,easy
123,male,18,tomorrow,hard
124,female,19,tomorrow,easy
125,female,21,future,hard
126,female,19,future,easy
127,female,20,future,easy
128,female,20,future,easy
129,female,19,future,easy
130,male,19,future,hard
131,female,19,future,hard
132,male,20,future,easy
133,female,19,future,hard
134,female,19,future,easy
135,female,19,future,easy
136,female,20,future,easy
137,female,20,future,
138,female,19,future,easy
139,female,18,future,easy
140,female,19,future,hard
141,female,20,future,hard
142,male,19,future,easy
143,female,21,future,hard
144,female,20,future,hard
145,female,20,future,easy
